date,category,weight_pct,mom_change_pct,yoy_change_pct
2025-03-01,Information and Communication,7.784,0.0,1.1
2025-03-01,"Recreation, Sport and Culture",1.7219,0.1,3.3
2025-03-01,Education Services,5.562,0.0,2.7
2025-03-01,Restaurants and Accommodation Services,8.0991,0.4,4.0
2025-03-01,Insurance and Financial Services,2.2423,0.0,0.9
2025-03-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,3.5
2025-04-01,Food and Non-Alcoholic Beverages,32.9094,0.4,7.1
2025-04-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.2,6.0
2025-04-01,Clothing and Footwear,2.9914,0.0,3.8
2025-04-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.3,0.8
2025-04-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,3.1
2025-04-01,Health,2.9116,0.2,3.4
2025-04-01,Transport,9.6468,0.5,2.3
2025-04-01,Information and Communication,7.784,0.0,1.0
2025-04-01,"Recreation, Sport and Culture",1.7219,0.3,3.3
2025-04-01,Education Services,5.562,0.0,2.7
2025-04-01,Restaurants and Accommodation Services,8.0991,0.3,4.1
2025-04-01,Insurance and Financial Services,2.2423,0.0,0.9
2025-04-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,3.5
2025-05-01,Food and Non-Alcoholic Beverages,32.9094,1.2,6.3
2025-05-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.1,5.5
2025-05-01,Clothing and Footwear,2.9914,0.1,3.6
2025-05-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.0,0.8
2025-05-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,3.0
2025-05-01,Health,2.9116,0.2,3.6
2025-05-01,Transport,9.6468,0.2,2.3
2025-05-01,Information and Communication,7.784,0.1,0.9
2025-05-01,"Recreation, Sport and Culture",1.7219,0.3,3.4
2025-05-01,Education Services,5.562,0.2,2.9
2025-05-01,Restaurants and Accommodation Services,8.0991,0.1,3.8
2025-05-01,Insurance and Financial Services,2.2423,0.0,0.9
2025-05-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.4,3.7
2025-06-01,Food and Non-Alcoholic Beverages,32.9094,1.0,6.6
2025-06-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.2,5.2
2025-06-01,Clothing and Footwear,2.9914,0.1,3.5
2025-06-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-0.1,0.2
2025-06-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.1,2.8
2025-06-01,Health,2.9116,0.3,3.7
2025-06-01,Transport,9.6468,0.7,3.2
2025-06-01,Information and Communication,7.784,0.0,0.8
2025-06-01,"Recreation, Sport and Culture",1.7219,0.2,3.1
2025-06-01,Education Services,5.562,0.0,2.9
2025-06-01,Restaurants and Accommodation Services,8.0991,0.1,3.3
2025-06-01,Insurance and Financial Services,2.2423,0.0,0.9
2025-06-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.1,3.3
2025-07-01,Food and Non-Alcoholic Beverages,32.9094,-0.3,6.8
2025-07-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.3,5.1
2025-07-01,Clothing and Footwear,2.9914,0.0,3.4
2025-07-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.7,1.3
2025-07-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,2.5
2025-07-01,Health,2.9116,0.1,3.5
2025-07-01,Transport,9.6468,0.8,4.1
2025-07-01,Information and Communication,7.784,0.0,0.8
2025-07-01,"Recreation, Sport and Culture",1.7219,0.1,2.9
2025-07-01,Education Services,5.562,0.0,2.9
2025-07-01,Restaurants and Accommodation Services,8.0991,0.1,3.2
2025-07-01,Insurance and Financial Services,2.2423,0.0,0.9
2025-07-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.5,3.4
2025-08-01,Food and Non-Alcoholic Beverages,32.9094,0.6,8.3
2025-08-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.2,3.4
2025-08-01,Clothing and Footwear,2.9914,0.1,3.3
2025-08-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-0.2,0.8
2025-08-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,-0.2,2.1
2025-08-01,Health,2.9116,0.1,3.3
2025-08-01,Transport,9.6468,0.5,4.4
2025-08-01,Information and Communication,7.784,0.1,0.7
2025-08-01,"Recreation, Sport and Culture",1.7219,0.0,2.8
2025-08-01,Education Services,5.562,0.2,2.4
2025-08-01,Restaurants and Accommodation Services,8.0991,0.1,2.8
2025-08-01,Insurance and Financial Services,2.2423,0.1,0.9
2025-08-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,3.3
2025-09-01,Food and Non-Alcoholic Beverages,32.9094,0.5,8.4
2025-09-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.2,3.3
2025-09-01,Clothing and Footwear,2.9914,0.1,3.3
2025-09-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.5,1.4
2025-09-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.1,2.0
2025-09-01,Health,2.9116,0.1,3.0
2025-09-01,Transport,9.6468,-0.3,4.0
2025-09-01,Information and Communication,7.784,0.1,0.8
2025-09-01,"Recreation, Sport and Culture",1.7219,0.1,2.8
2025-09-01,Education Services,5.562,0.0,2.2
2025-09-01,Restaurants and Accommodation Services,8.0991,0.0,2.6
2025-09-01,Insurance and Financial Services,2.2423,0.1,0.8
2025-09-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.1,3.1
2025-10-01,Food and Non-Alcoholic Beverages,32.9094,0.2,8.0
2025-10-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.1,3.1
2025-10-01,Clothing and Footwear,2.9914,0.1,2.9
2025-10-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.3,1.9
2025-10-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.0,1.7
2025-10-01,Health,2.9116,0.1,2.8
2025-10-01,Transport,9.6468,0.4,4.8
2025-10-01,Information and Communication,7.784,0.0,0.7
2025-10-01,"Recreation, Sport and Culture",1.7219,0.2,2.7
2025-10-01,Education Services,5.562,0.0,2.2
2025-10-01,Restaurants and Accommodation Services,8.0991,0.4,2.3
2025-10-01,Insurance and Financial Services,2.2423,0.0,0.8
2025-10-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.1,2.7
2025-11-01,Food and Non-Alcoholic Beverages,32.9094,0.3,7.7
2025-11-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.1,2.7
2025-11-01,Clothing and Footwear,2.9914,0.2,3.0
2025-11-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-0.1,1.9
2025-11-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,1.6
2025-11-01,Health,2.9116,0.2,2.9
2025-11-01,Transport,9.6468,0.4,5.1
2025-11-01,Information and Communication,7.784,0.0,0.7
2025-11-01,"Recreation, Sport and Culture",1.7219,0.2,2.7
2025-11-01,Education Services,5.562,0.0,2.2
2025-11-01,Restaurants and Accommodation Services,8.0991,0.1,2.3
2025-11-01,Insurance and Financial Services,2.2423,0.0,0.2
2025-11-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.1,2.7
2025-12-01,Food and Non-Alcoholic Beverages,32.9094,0.8,7.8
2025-12-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.2,2.8
2025-12-01,Clothing and Footwear,2.9914,0.5,1.5
2025-12-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-0.1,1.6
2025-12-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.1,1.6
2025-12-01,Health,2.9116,0.2,2.6
2025-12-01,Transport,9.6468,1.9,5.2
2025-12-01,Information and Communication,7.784,0.1,0.7
2025-12-01,"Recreation, Sport and Culture",1.7219,0.3,2.9
2025-12-01,Education Services,5.562,0.0,2.2
2025-12-01,Restaurants and Accommodation Services,8.0991,0.2,2.1
2025-12-01,Insurance and Financial Services,2.2423,0.0,0.1
2025-12-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.3,2.6
2026-01-01,Food and Non-Alcoholic Beverages,32.9094,1.1,7.3
2026-01-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.5,3.0
2026-01-01,Clothing and Footwear,2.9914,0.5,2.0
2026-01-01,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.7,2.2
2026-01-01,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,1.5
2026-01-01,Health,2.9116,0.6,2.7
2026-01-01,Transport,9.6468,-0.7,4.8
2026-01-01,Information and Communication,7.784,0.0,0.5
2026-01-01,"Recreation, Sport and Culture",1.7219,0.6,2.5
2026-01-01,Education Services,5.562,2.1,2.7
2026-01-01,Restaurants and Accommodation Services,8.0991,0.4,2.4
2026-01-01,Insurance and Financial Services,2.2423,0.5,0.6
2026-01-01,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,2.5
2026-02-01,Food and Non-Alcoholic Beverages,32.9094,0.6,7.3
2026-02-01,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.1,2.5
2026-02-01,Clothing and Footwear,2.9914,0.1,2.0
